iter	MAE
0	0.556725924111	0.542877121722	0.528820263	33	0.5174865244	4	0.5054619155	5	0.4939417366	6	0.4848793677	7	0.4750824688	8	0.46733249	9	9	0.458920310110	0.4530875111111	0.4447209121212	0.4376717131313	0.4315274114	14	0.4249188115	15	0.4211178116	16	0.4161981117	17	0.4109715118	18	0.4063270119	19	0.4022052220	20	0.3977987221	21	0.3947347222	22	0.3910107223	23	0.3881210224	24	0.3853667225	25	0.383448126	026	0.3814048227	27	0.3780836228	28	0.375429529	29	0.37335830	0.30	0.37066731	0.31	0.369032	0.3732	0.367433	0.3633	0.365334	0.3634	0.362835	0.3635	0.361336	0.3636	0.359637	0.3637	0.358138	0.3638	0.357039	0.3539	0.355840	0.3540	0.354041	0.3564720814
42	0.3554788377
43	0.3544781773
44	0.3537324277
45	0.3525416739
46	0.3518944616
47	0.3512676366
48	0.3503991109
49	0.3495116664
50	0.3484594907
51	0.3478269767
52	0.3469019736
53	0.3461381597
54	0.3450127546555	0.3444900121556	0.3439596066557	0.3429246051558	0.34217284
59	0.3378477488
60	0.3374018177
61	0.3368681491
62	0.3362721804
63	0.3358191458
64	0.3350803702
65	0.3343386806
66	0.3336375752
67	0.3328185474
68	0.3321982639
69	0.3318137407
70	0.3313514001
71	0.3305744847
72	0.3298396858
73	0.3290751645
74	0.3286146745
75	0.3281850992
76	0.3278662928
77	0.327061948
78	0.3261816446
79	0.3258065329
80	0.324971144
81	0.3244815938
82	0.3240178304
83	0.3234094593
84	0.3228014554
85	0.3222095204
86	0.321716113
87	0.3208180656
88	0.3202913405
89	0.3198347397
90	0.319426721
91	0.3189719792
92	0.3183400434
93	0.3172111911
94	0.3167992712
95	0.3157932325
96	0.3152190255
97	0.314545055
98	0.3137718736
99	0.3135288469
100	0.3125854463
101	0.3123730175
102	0.3120738852
103	0.3114621649
104	0.3109133395
105	0.3102792519
106	0.309513958
107	0.309066584
108	0.3088290653
109	0.308478856
110	0.3075333646
111	0.3072095853
112	0.3068187842
113	0.3064875304
114	0.3059963748
115	0.305757106
116	0.30525734
117	0.304698632
118	0.3042931122
119	0.3034983467
120	0.3029273426
121	0.3022709346
122	0.3015719232
123	0.3010666799
124	0.3007991048
125	0.3005178533
126	0.3002006905
127	0.2998645843
128	0.2993121462
129	0.2989421541
130	0.2984538403
131	0.2982374979
132	0.2979201586
133	0.2974988947
134	0.2971623546
135	0.2968813739
136	0.2964605132
137	0.296042085
138	0.2958236887
139	0.295358161
140	0.2950115087
141	0.2945038924
142	0.2941037673
143	0.2937474844
144	0.2932873011
145	0.2928200176
146	0.2922495031
147	0.2918830256
148	0.2913835542
149	0.2909314202
150	0.2903066809
151	0.2899234708
152	0.2897515097
153	0.2894643552
154	0.2889388242
155	0.2885955511
156	0.2881754718
157	0.287849981
158	0.2875593282
159	0.2871977294
160	0.2869856524
161	0.2866862134
162	0.2862301765
163	0.2857921311
164	0.285151089
165	0.2848640185
166	0.284322883
167	0.2838894309
168	0.2836144006
169	0.2831031477
170	0.2826070043
171	0.2820615428
172	0.2817300343
173	0.2812775673
174	0.2807710457
175	0.2805216742
176	0.2797884524
177	0.279434822
178	0.2790070492
179	0.2786002837
